cloud,profile,weighting,sigma_bin_left_g_cm2,sigma_bin_right_g_cm2,sigma_bin_center_g_cm2,probability_density_per_ln_sigma,probability_density_normalized_to_peak,common_pixel_count,profile_censored_pixel_count,shared_display_minimum_g_cm2
F,bt12,mass,0.01,0.011547819846894581,0.010746078283213174,0.01232643171414892,0.01551517434141736,72424,15,0.01
F,bt12,mass,0.011547819846894581,0.01333521432163324,0.012409377607517195,0.018362685951337575,0.023112956005319398,72424,15,0.01
F,bt12,mass,0.01333521432163324,0.01539926526059492,0.014330125702369627,0.024518364864615977,0.030861056489231032,72424,15,0.01
F,bt12,mass,0.01539926526059492,0.01778279410038923,0.016548170999431816,0.03365641312493306,0.04236303980337738,72424,15,0.01
F,bt12,mass,0.01778279410038923,0.02053525026457146,0.019109529749704406,0.047009241869864965,0.05917013132288869,72424,15,0.01
F,bt12,mass,0.02053525026457146,0.023713737056616554,0.0220673406908459,0.05827221010777831,0.07334673326783665,72424,15,0.01
F,bt12,mass,0.023713737056616554,0.027384196342643614,0.025482967479793464,0.07489406541231697,0.09426852060323475,72424,15,0.01
F,bt12,mass,0.027384196342643614,0.03162277660168379,0.029427271762092817,0.09626487127632026,0.12116777145585579,72424,15,0.01
F,bt12,mass,0.03162277660168379,0.03651741272548377,0.03398208328942559,0.13265586333359725,0.16697280241040974,72424,15,0.01
F,bt12,mass,0.03651741272548377,0.042169650342858224,0.03924189758484536,0.16779359056494775,0.2112003596303795,72424,15,0.01
F,bt12,mass,0.042169650342858224,0.04869675251658631,0.04531583637600818,0.21406121714876222,0.26943702612547654,72424,15,0.01
F,bt12,mass,0.04869675251658631,0.05623413251903491,0.05232991146814947,0.2693385449509715,0.3390141266090263,72424,15,0.01
F,bt12,mass,0.05623413251903491,0.06493816315762113,0.060429639023813285,0.32633306725611505,0.4107526451500474,72424,15,0.01
F,bt12,mass,0.06493816315762113,0.07498942093324558,0.06978305848598663,0.39207158973001016,0.4934971620371949,72424,15,0.01
F,bt12,mass,0.07498942093324558,0.08659643233600653,0.08058421877614817,0.4565244450868935,0.574623420702657,72424,15,0.01
F,bt12,mass,0.08659643233600653,0.1,0.09305720409296989,0.5394824885938286,0.6790420016741132,72424,15,0.01
F,bt12,mass,0.1,0.11547819846894582,0.10746078283213176,0.6473552678566056,0.8148205477909182,72424,15,0.01
